Name,Type1,Type2,BST,HP,Attack,Defense,SpAtk,SpDef,Speed,Generation,Personality,Hardy,Lonely,Adamant,Naughty,Brave,Bold,Docile,Impish,Lax,Relaxed,Modest,Mild,Bashful,Rash,Quiet,Calm,Gentle,Careful,Quirky,Sassy,Timid,Hasty,Jolly,Naive,Serious,,AtkAverage,DefAverage,SpAAverage,SpDAverage,SpAverage,,AtkRank,DefRank,SpARank,SpDAverage,SpAverage
Metapod,Bug, ,205,50,20,55,25,25,30,1,Bold,2.4,-17.1,-2.4,-2.4,-4.9,17.1,6.7,14.6,14.6,12.2,2.4,-14.6,3.0,0.0,-2.4,2.4,-14.6,3.0,0.0,-2.4,4.9,-12.2,2.4,2.4,3.7,,-4.88,13.05,-2.32,-2.32,0.24,,5,1,3,3,2
Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,Modest,2.8,-1.3,-11.4,-8.9,-6.3,1.3,3.2,-10.1,-7.6,-5.1,11.4,10.1,5.7,2.5,5.1,11.4,10.1,5.7,2.5,5.1,6.3,5.1,-5.1,-2.5,4.4,,-5.00,-3.67,6.96,6.96,1.65,,5,4,1,1,3
Weedle,Bug,Poison,195,40,35,30,20,20,50,1,Jolly,4.5,2.6,7.7,7.7,-7.7,-2.6,3.8,5.1,5.1,-10.3,-7.7,-5.1,2.6,0.0,-15.4,-7.7,-5.1,2.6,0.0,-15.4,7.7,10.3,15.4,15.4,6.4,,2.95,0.26,-5.13,-5.13,11.03,,2,3,4,4,1
Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,Bold,3.0,-12.2,0.0,0.0,-4.9,12.2,6.1,12.2,12.2,7.3,0.0,-12.2,3.0,0.0,-4.9,0.0,-12.2,3.0,0.0,-4.9,4.9,-7.3,4.9,4.9,4.3,,-2.80,10.00,-2.80,-2.80,2.32,,3,1,3,3,2
Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,Lonely,5.7,12.7,11.4,2.5,3.8,-12.7,2.5,-1.3,-10.1,-8.9,-11.4,1.3,2.8,-8.9,-7.6,-11.4,1.3,2.8,-8.9,-7.6,-3.8,8.9,7.6,-1.3,4.7,,7.22,-6.08,-4.75,-4.75,3.23,,1,5,3,3,2
Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,Jolly,4.5,2.0,4.0,4.0,-4.4,-2.0,4.0,2.0,2.0,-6.4,-4.0,-2.0,3.5,0.0,-8.4,-4.0,-2.0,3.5,0.0,-8.4,4.4,6.4,8.4,8.4,5.6,,2.01,-0.08,-2.17,-2.17,6.61,,2,3,4,4,1
Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,Jolly,4.3,1.4,2.9,2.9,-3.2,-1.4,3.9,1.4,1.4,-4.6,-2.9,-1.4,3.6,0.0,-6.0,-2.9,-1.4,3.6,0.0,-6.0,3.2,4.6,6.0,6.0,5.1,,1.66,0.16,-1.35,-1.35,4.97,,2,3,4,4,1
Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,Jolly,4.2,1.0,2.1,2.1,-4.4,-1.0,3.9,1.0,1.0,-5.4,-2.1,-1.0,3.7,0.0,-6.5,-2.1,-1.0,3.7,0.0,-6.5,4.4,5.4,6.5,6.5,5.3,,1.00,-0.09,-1.19,-1.19,5.61,,2,3,4,4,1
Rattata,Normal, ,253,30,56,35,25,35,72,1,Jolly,5.5,8.3,12.3,8.3,-6.3,-8.3,3.5,4.0,0.0,-14.6,-12.3,-4.0,2.5,-4.0,-18.6,-12.3,-4.0,2.5,-4.0,-18.6,6.3,14.6,18.6,14.6,7.1,,5.61,-3.10,-7.25,-7.25,12.25,,2,3,4,4,1
Raticate,Normal, ,413,55,81,60,50,70,97,1,Jolly,4.9,5.1,7.5,2.7,-3.9,-5.1,3.6,2.4,-2.4,-9.0,-7.5,-2.4,3.0,-4.8,-11.4,-7.5,-2.4,3.0,-4.8,-11.4,3.9,9.0,11.4,6.5,5.9,,3.26,-2.08,-4.62,-4.62,7.32,,2,3,4,4,1
Spearow,Normal,Flying,262,40,60,30,31,31,70,1,Hasty,5.7,11.5,11.1,11.1,-3.8,-11.5,2.9,-0.4,-0.4,-15.3,-11.1,0.4,3.0,0.0,-14.9,-11.1,0.4,3.0,0.0,-14.9,3.8,15.3,14.9,14.9,6.7,,7.10,-4.92,-4.52,-4.52,11.11,,2,5,3,3,1
Fearow,Normal,Flying,442,65,90,65,61,61,100,1,Jolly,5.1,5.7,6.6,6.6,-2.3,-5.7,3.7,0.9,0.9,-7.9,-6.6,-0.9,3.5,0.0,-8.8,-6.6,-0.9,3.5,0.0,-8.8,2.3,7.9,8.8,8.8,5.7,,4.32,-1.62,-2.57,-2.57,6.70,,2,3,4,4,1
Ekans,Poison, ,288,35,60,44,40,54,55,1,Adamant,5.2,5.6,6.9,2.1,1.7,-5.6,3.8,1.4,-3.5,-3.8,-6.9,-1.4,3.5,-4.9,-5.2,-6.9,-1.4,3.5,-4.9,-5.2,-1.7,3.8,5.2,0.3,4.8,,4.31,-1.53,-2.99,-2.99,2.48,,1,3,4,4,2
Arbok,Poison, ,448,60,95,69,65,79,80,1,Adamant,5.3,5.8,6.7,3.6,3.3,-5.8,3.9,0.9,-2.2,-2.5,-6.7,-0.9,3.6,-3.1,-3.3,-6.7,-0.9,3.6,-3.1,-3.3,-3.3,2.5,3.3,0.2,4.5,,4.94,-1.15,-2.09,-2.09,1.43,,1,3,4,4,2
Pikachu,Electric, ,320,35,55,40,50,50,90,1,Hasty,4.3,4.7,1.6,1.6,-10.9,-4.7,3.1,-3.1,-3.1,-15.6,-1.6,3.1,3.9,0.0,-12.5,-1.6,3.1,3.9,0.0,-12.5,10.9,15.6,12.5,12.5,7.0,,0.23,-4.69,-1.41,-1.41,11.72,,2,5,3,3,1
Raichu,Electric, ,485,60,90,55,90,80,110,1,Hasty,4.6,7.2,0.0,2.1,-4.1,-7.2,2.8,-7.2,-5.2,-11.3,0.0,7.2,4.6,2.1,-4.1,0.0,7.2,4.6,2.1,-4.1,4.1,11.3,4.1,6.2,5.7,,1.96,-5.62,1.96,1.96,6.29,,2,5,2,2,1
Sandshrew,Ground, ,300,50,75,85,20,30,40,1,Impish,6.3,-3.3,18.3,15.0,11.7,3.3,7.1,21.7,18.3,15.0,-18.3,-21.7,1.7,-3.3,-6.7,-18.3,-21.7,1.7,-3.3,-6.7,-11.7,-15.0,6.7,3.3,3.3,,9.58,13.08,-9.67,-9.67,-2.67,,2,1,4,4,3
Sandslash,Ground, ,450,75,100,110,45,55,65,1,Impish,5.6,-2.2,12.2,10.0,7.8,2.2,6.1,14.4,12.2,10.0,-12.2,-14.4,2.5,-2.2,-4.4,-12.2,-14.4,2.5,-2.2,-4.4,-7.8,-10.0,4.4,2.2,3.6,,6.67,9.00,-6.17,-6.17,-1.50,,2,1,4,4,3
Nidoran,Poison, ,275,55,47,52,40,40,41,1,Docile,4.3,-1.8,2.5,2.5,2.2,1.8,4.7,4.4,4.4,4.0,-2.5,-4.4,3.6,0.0,-0.4,-2.5,-4.4,3.6,0.0,-0.4,-2.2,-4.0,0.4,0.4,3.7,,1.95,3.85,-0.73,-0.73,-0.35,,2,1,4,4,3
Nidorina,Poison, ,365,70,62,67,55,55,56,1,Docile,4.2,-1.4,1.9,1.9,1.6,1.4,4.6,3.3,3.3,3.0,-1.9,-3.3,3.8,0.0,-0.3,-1.9,-3.3,3.8,0.0,-0.3,-1.6,-3.0,0.3,0.3,3.8,,1.67,3.11,-0.34,-0.34,-0.05,,2,1,4,4,3
Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,Hardy,4.6,1.0,3.4,1.4,3.2,-1.0,4.3,2.4,0.4,2.2,-3.4,-2.4,3.7,-2.0,-0.2,-3.4,-2.4,3.7,-2.0,-0.2,-3.2,-2.2,0.2,-1.8,3.8,,2.69,1.65,-0.84,-0.84,-0.63,,1,2,4,4,3
Nidoran,Poison, ,273,46,57,40,40,40,50,1,Lonely,5.2,6.2,6.2,6.2,2.6,-6.2,3.7,0.0,0.0,-3.7,-6.2,0.0,3.7,0.0,-3.7,-6.2,0.0,3.7,0.0,-3.7,-2.6,3.7,3.7,3.7,4.6,,5.29,-1.25,-1.25,-1.25,2.60,,1,3,3,3,2
Nidorino,Poison, ,365,61,72,57,55,55,65,1,Hardy,4.9,4.1,4.7,4.7,1.9,-4.1,3.9,0.5,0.5,-2.2,-4.7,-0.5,3.8,0.0,-2.7,-4.7,-0.5,3.8,0.0,-2.7,-1.9,2.2,2.7,2.7,4.5,,4.05,-0.26,-0.84,-0.84,2.04,,1,3,4,4,2
Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,Naughty,5.0,5.0,3.4,5.3,3.4,-5.0,3.8,-1.6,0.4,-1.6,-3.4,1.6,4.2,2.0,0.0,-3.4,1.6,4.2,2.0,0.0,-3.4,1.6,0.0,2.0,4.2,,4.42,-0.78,0.88,0.88,0.88,,1,5,2,2,2
Clefairy,Fairy, ,323,70,45,48,60,65,35,1,Quiet,3.5,-0.9,-4.6,-6.2,3.1,0.9,3.7,-3.7,-5.3,4.0,4.6,3.7,4.6,-1.5,7.7,4.6,3.7,4.6,-1.5,7.7,-3.1,-4.0,-7.7,-9.3,2.7,,-1.04,-0.06,3.84,3.84,-4.29,,4,3,1,1,5
Clefable,Fairy, ,483,95,70,73,95,90,60,1,Quiet,3.6,-0.6,-5.2,-4.1,2.1,0.6,3.8,-4.6,-3.5,2.7,5.2,4.6,4.9,1.0,7.2,5.2,4.6,4.9,1.0,7.2,-2.1,-2.7,-7.2,-6.2,3.1,,-0.85,-0.20,4.59,4.59,-3.02,,4,3,1,1,5
Vulpix,Fire, ,299,38,41,40,50,65,65,1,Hasty,3.4,0.3,-3.0,-8.0,-8.0,-0.3,3.3,-3.3,-8.4,-8.4,3.0,3.3,4.2,-5.0,-5.0,3.0,3.3,4.2,-5.0,-5.0,8.0,8.4,5.0,0.0,5.4,,-3.06,-3.41,0.10,0.10,5.37,,4,5,2,2,1
Ninetales,Fire, ,505,73,76,75,81,100,100,1,Hasty,3.8,0.2,-1.0,-4.8,-4.8,-0.2,3.7,-1.2,-5.0,-5.0,1.0,1.2,4.0,-3.8,-3.8,1.0,1.2,4.0,-3.8,-3.8,4.8,5.0,3.8,0.0,5.0,,-1.31,-1.51,-0.27,-0.27,3.68,,4,5,2,2,1
Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,Lonely,4.2,9.3,0.0,7.4,9.3,-9.3,1.9,-9.3,-1.9,0.0,0.0,9.3,4.2,7.4,9.3,0.0,9.3,4.2,7.4,9.3,-9.3,0.0,-9.3,-1.9,1.9,,6.02,-3.70,6.02,6.02,-3.70,,1,4,1,1,4
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,Mild,4.0,5.7,-3.4,4.6,5.7,-5.7,2.6,-9.2,-1.1,0.0,3.4,9.2,4.9,8.0,9.2,3.4,9.2,4.9,8.0,9.2,-5.7,0.0,-9.2,-1.1,2.6,,3.33,-2.70,6.95,6.95,-2.70,,3,5,1,1,4
Zubat,Poison,Flying,245,40,45,35,30,40,55,1,Jolly,4.6,4.1,6.1,2.0,-4.1,-4.1,3.6,2.0,-2.0,-8.2,-6.1,-2.0,3.1,-4.1,-10.2,-6.1,-2.0,3.1,-4.1,-10.2,4.1,8.2,10.2,6.1,5.6,,2.55,-1.73,-3.88,-3.88,6.84,,2,3,4,4,1
Golbat,Poison,Flying,455,75,80,70,65,75,90,1,Jolly,4.4,2.2,3.3,1.1,-2.2,-2.2,3.8,1.1,-1.1,-4.4,-3.3,-1.1,3.6,-2.2,-5.5,-3.3,-1.1,3.6,-2.2,-5.5,2.2,4.4,5.5,3.3,4.9,,1.76,-0.55,-1.70,-1.70,4.07,,2,3,4,4,1
Oddish,Grass,Poison,320,45,50,55,75,65,30,1,Quiet,3.9,-1.6,-7.8,-4.7,6.3,1.6,4.3,-6.3,-3.1,7.8,7.8,6.3,5.9,3.1,14.1,7.8,6.3,5.9,3.1,14.1,-6.3,-7.8,-14.1,-10.9,2.3,,-0.78,0.86,7.42,7.42,-7.34,,4,3,1,1,5
Gloom,Grass,Poison,395,60,65,70,85,75,40,1,Quiet,4.1,-1.3,-5.1,-2.5,6.3,1.3,4.4,-3.8,-1.3,7.6,5.1,3.8,5.4,2.5,11.4,5.1,3.8,5.4,2.5,11.4,-6.3,-7.6,-11.4,-8.9,2.5,,0.32,1.65,5.63,5.63,-6.33,,4,3,1,1,5
Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,Quiet,4.1,-1.0,-6.1,-2.0,6.1,1.0,4.3,-5.1,-1.0,7.1,6.1,5.1,5.6,4.1,12.2,6.1,5.1,5.6,4.1,12.2,-6.1,-7.1,-12.2,-8.2,2.6,,0.20,1.28,6.63,6.63,-6.22,,4,3,1,1,5
Paras,Bug,Grass,285,35,70,55,45,55,25,1,Brave,6.1,5.3,8.8,5.3,15.8,-5.3,4.8,3.5,0.0,10.5,-8.8,-3.5,3.9,-3.5,7.0,-8.8,-3.5,3.9,-3.5,7.0,-15.8,-10.5,-7.0,-10.5,2.2,,8.25,2.72,-0.96,-0.96,-8.33,,1,2,3,3,5
Parasect,Bug,Grass,405,60,95,80,60,80,30,1,Brave,5.9,3.7,8.6,3.7,16.0,-3.7,4.9,4.9,0.0,12.3,-8.6,-4.9,3.7,-4.9,7.4,-8.6,-4.9,3.7,-4.9,7.4,-16.0,-12.3,-7.4,-12.3,1.9,,7.59,3.70,-1.48,-1.48,-9.26,,1,2,3,3,5
Venonat,Bug,Poison,305,60,55,50,40,55,45,1,Adamant,4.5,1.6,4.9,0.0,3.3,-1.6,4.1,3.3,-1.6,1.6,-4.9,-3.3,3.3,-4.9,-1.6,-4.9,-3.3,3.3,-4.9,-1.6,-3.3,-1.6,1.6,-3.3,3.7,,2.87,1.15,-2.30,-2.30,-0.57,,1,2,4,4,3
Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,Mild,3.6,1.1,-5.6,-2.2,-5.6,-1.1,3.3,-6.7,-3.3,-6.7,5.6,6.7,5.0,3.3,0.0,5.6,6.7,5.0,3.3,0.0,5.6,6.7,0.0,3.3,5.0,,-1.72,-2.89,4.11,4.11,4.11,,4,5,1,1,1
Diglett,Ground, ,265,10,55,25,35,45,95,1,Hasty,5.2,11.3,7.5,3.8,-15.1,-11.3,2.4,-3.8,-7.5,-26.4,-7.5,3.8,3.3,-3.8,-22.6,-7.5,3.8,3.3,-3.8,-22.6,15.1,26.4,22.6,18.9,9.0,,2.55,-9.34,-5.38,-5.38,18.40,,2,5,3,3,1
Dugtrio,Ground, ,425,35,100,50,50,70,120,1,Hasty,5.9,11.8,11.8,7.1,-4.7,-11.8,2.9,0.0,-4.7,-16.5,-11.8,0.0,2.9,-4.7,-16.5,-11.8,0.0,2.9,-4.7,-16.5,4.7,16.5,16.5,11.8,7.1,,6.35,-6.00,-6.00,-6.00,11.29,,2,3,3,3,1
Meowth,Normal, ,290,40,45,35,40,40,90,1,Hasty,3.9,3.4,1.7,1.7,-15.5,-3.4,3.0,-1.7,-1.7,-19.0,-1.7,1.7,3.4,0.0,-17.2,-1.7,1.7,3.4,0.0,-17.2,15.5,19.0,17.2,17.2,7.8,,-0.95,-4.57,-2.76,-2.76,15.34,,2,5,3,3,1
Persian,Normal, ,440,65,70,60,65,65,115,1,Hasty,4.0,2.3,1.1,1.1,-10.2,-2.3,3.4,-1.1,-1.1,-12.5,-1.1,1.1,3.7,0.0,-11.4,-1.1,1.1,3.7,0.0,-11.4,10.2,12.5,11.4,11.4,6.5,,-0.34,-2.73,-1.53,-1.53,10.40,,2,5,3,3,1
Psyduck,Water, ,320,50,52,48,65,50,55,1,Mild,4.1,1.3,-4.1,0.6,-0.9,-1.3,3.8,-5.3,-0.6,-2.2,4.1,5.3,5.1,4.7,3.1,4.1,5.3,5.1,4.7,3.1,0.9,2.2,-3.1,1.6,4.3,,0.19,-1.13,4.45,4.45,1.17,,4,5,1,1,3
Golduck,Water, ,500,80,82,78,95,80,85,1,Bashful,4.1,0.8,-2.6,0.4,-0.6,-0.8,3.9,-3.4,-0.4,-1.4,2.6,3.4,4.8,3.0,2.0,2.6,3.4,4.8,3.0,2.0,0.6,1.4,-2.0,1.0,4.3,,0.42,-0.42,3.15,3.15,1.05,,4,5,1,1,3
Mankey,Fighting, ,305,40,80,35,35,45,70,1,Lonely,6.6,14.8,14.8,11.5,3.3,-14.8,2.9,0.0,-3.3,-11.5,-14.8,0.0,2.9,-3.3,-11.5,-14.8,0.0,2.9,-3.3,-11.5,-3.3,11.5,11.5,8.2,5.7,,10.16,-5.33,-5.33,-5.33,6.72,,1,3,3,3,2
Primeape,Fighting, ,455,65,105,60,60,70,95,1,Lonely,5.8,9.9,9.9,7.7,2.2,-9.9,3.3,0.0,-2.2,-7.7,-9.9,0.0,3.3,-2.2,-7.7,-9.9,0.0,3.3,-2.2,-7.7,-2.2,7.7,7.7,5.5,5.2,,7.09,-3.30,-3.30,-3.30,4.78,,1,3,3,3,2
Growlithe,Fire, ,350,55,70,45,70,50,60,1,Lonely,5.0,7.1,0.0,5.7,2.9,-7.1,3.2,-7.1,-1.4,-4.3,0.0,7.1,5.0,5.7,2.9,0.0,7.1,5.0,5.7,2.9,-2.9,4.3,-2.9,2.9,4.3,,4.14,-3.36,4.14,4.14,1.14,,1,5,1,1,4
Arcanine,Fire, ,555,90,110,80,100,80,95,1,Lonely,5.0,5.4,1.8,5.4,2.7,-5.4,3.6,-3.6,0.0,-2.7,-1.8,3.6,4.5,3.6,0.9,-1.8,3.6,4.5,3.6,0.9,-2.7,2.7,-0.9,2.7,4.3,,4.05,-1.62,2.16,2.16,1.22,,1,5,2,2,4
Poliwag,Water, ,300,40,50,40,40,40,90,1,Hasty,4.2,3.3,3.3,3.3,-13.3,-3.3,3.3,0.0,0.0,-16.7,-3.3,0.0,3.3,0.0,-16.7,-3.3,0.0,3.3,0.0,-16.7,13.3,16.7,16.7,16.7,7.5,,0.17,-3.33,-3.33,-3.33,14.17,,2,3,3,3,1
Poliwhirl,Water, ,385,65,65,65,50,50,90,1,Jolly,4.2,0.0,3.9,3.9,-6.5,0.0,4.2,3.9,3.9,-6.5,-3.9,-3.9,3.2,0.0,-10.4,-3.9,-3.9,3.2,0.0,-10.4,6.5,6.5,10.4,10.4,5.8,,1.10,1.10,-2.99,-2.99,7.92,,2,2,4,4,1
Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,Adamant,4.7,0.0,4.9,1.0,4.9,0.0,4.7,4.9,1.0,4.9,-4.9,-4.9,3.4,-3.9,0.0,-4.9,-4.9,3.4,-3.9,0.0,-4.9,-4.9,0.0,-3.9,3.4,,3.09,3.09,-2.06,-2.06,-2.06,,1,1,3,3,3
Abra,Psychic, ,310,25,20,15,105,55,90,1,Mild,1.6,1.6,-27.4,-11.3,-22.6,-1.6,1.2,-29.0,-12.9,-24.2,27.4,29.0,8.5,16.1,4.8,27.4,29.0,8.5,16.1,4.8,22.6,24.2,-4.8,11.3,7.3,,-11.61,-13.31,17.18,17.18,12.10,,4,5,1,1,3
Kadabra,Psychic, ,400,40,35,30,120,70,105,1,Mild,2.2,1.3,-21.3,-8.8,-17.5,-1.3,1.9,-22.5,-10.0,-18.8,21.3,22.5,7.5,12.5,3.8,21.3,22.5,7.5,12.5,3.8,17.5,18.8,-3.8,8.8,6.6,,-8.81,-10.13,13.50,13.50,9.56,,4,5,1,1,3
Alakazam,Psychic, ,500,55,50,45,135,95,120,1,Mild,2.5,1.0,-17.0,-9.0,-14.0,-1.0,2.3,-18.0,-10.0,-15.0,17.0,18.0,6.8,8.0,3.0,17.0,18.0,6.8,8.0,3.0,14.0,15.0,-3.0,5.0,6.0,,-7.30,-8.35,10.55,10.55,7.40,,4,5,1,1,3
Machop,Fighting, ,305,70,80,50,35,35,35,1,Adamant,6.6,9.8,14.8,14.8,14.8,-9.8,4.1,4.9,4.9,4.9,-14.8,-4.9,2.9,0.0,0.0,-14.8,-4.9,2.9,0.0,0.0,-14.8,-4.9,0.0,0.0,2.9,,12.13,1.80,-3.36,-3.36,-3.36,,1,2,3,3,3
Machoke,Fighting, ,405,80,100,70,50,60,45,1,Brave,6.2,7.4,12.3,9.9,13.6,-7.4,4.3,4.9,2.5,6.2,-12.3,-4.9,3.1,-2.5,1.2,-12.3,-4.9,3.1,-2.5,1.2,-13.6,-6.2,-1.2,-3.7,2.8,,9.88,2.10,-3.09,-3.09,-4.38,,1,2,3,3,5
Machamp,Fighting, ,505,90,130,80,65,85,55,1,Brave,6.4,9.9,12.9,8.9,14.9,-9.9,4.0,3.0,-1.0,5.0,-12.9,-3.0,3.2,-4.0,2.0,-12.9,-3.0,3.2,-4.0,2.0,-14.9,-5.0,-2.0,-5.9,2.7,,10.59,0.20,-2.92,-2.92,-5.00,,1,2,3,3,5
Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,Naughty,6.3,13.3,1.7,15.0,11.7,-13.3,2.9,-11.7,1.7,-1.7,-1.7,11.7,5.8,13.3,10.0,-1.7,11.7,5.8,13.3,10.0,-11.7,1.7,-10.0,3.3,3.3,,9.58,-4.42,7.83,7.83,-2.67,,1,5,2,2,4
Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,Naughty,5.8,10.3,1.3,11.5,9.0,-10.3,3.2,-9.0,1.3,-1.3,-1.3,9.0,5.4,10.3,7.7,-1.3,9.0,5.4,10.3,7.7,-9.0,1.3,-7.7,2.6,3.5,,7.56,-3.21,6.22,6.22,-1.86,,1,5,2,2,4
Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,Lonely,5.4,8.2,1.0,7.1,7.1,-8.2,3.3,-7.1,-1.0,-1.0,-1.0,7.1,5.1,6.1,6.1,-1.0,7.1,5.1,6.1,6.1,-7.1,1.0,-6.1,0.0,3.6,,5.77,-2.81,4.69,4.69,-1.73,,1,5,2,2,4
Tentacool,Water,Poison,335,40,40,35,50,100,70,1,Hasty,3.0,1.5,-3.0,-17.9,-9.0,-1.5,2.6,-4.5,-19.4,-10.4,3.0,4.5,3.7,-14.9,-6.0,3.0,4.5,3.7,-14.9,-6.0,9.0,10.4,6.0,-9.0,5.2,,-5.07,-6.64,-1.94,-1.94,4.33,,4,5,2,2,1
Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,Hasty,3.4,1.0,-1.9,-9.7,-5.8,-1.0,3.2,-2.9,-10.7,-6.8,1.9,2.9,3.9,-7.8,-3.9,1.9,2.9,3.9,-7.8,-3.9,5.8,6.8,3.9,-3.9,4.9,,-2.62,-3.64,-0.58,-0.58,3.50,,4,5,2,2,1
Geodude,Rock,Ground,300,40,80,100,30,30,20,1,Relaxed,6.7,-6.7,16.7,16.7,20.0,6.7,8.3,23.3,23.3,26.7,-16.7,-23.3,2.5,0.0,3.3,-16.7,-23.3,2.5,0.0,3.3,-20.0,-26.7,-3.3,-3.3,1.7,,10.67,17.67,-6.83,-6.83,-10.33,,2,1,3,3,5
Graveler,Rock,Ground,390,55,95,115,45,45,35,1,Relaxed,6.1,-5.1,12.8,12.8,15.4,5.1,7.4,17.9,17.9,20.5,-12.8,-17.9,2.9,0.0,2.6,-12.8,-17.9,2.9,0.0,2.6,-15.4,-20.5,-2.6,-2.6,2.2,,8.40,13.78,-5.06,-5.06,-7.76,,2,1,3,3,5
Golem,Rock,Ground,495,80,120,130,55,65,45,1,Relaxed,6.1,-2.0,13.1,11.1,15.2,2.0,6.6,15.2,13.1,17.2,-13.1,-15.2,2.8,-2.0,2.0,-13.1,-15.2,2.8,-2.0,2.0,-15.2,-17.2,-2.0,-4.0,2.3,,8.69,10.81,-5.10,-5.10,-7.22,,2,1,3,3,5
